id,titulo,operacion,tipo,ciudad,barrio,direccion,dormitorios,banios,superficie_m2,cochera,precio,moneda,expensas,descripcion,destacados,foto
INM-001,Monoambiente amplio en Nueva Córdoba,alquiler,departamento,Córdoba,Nueva Córdoba,,1,1,45,no,380000,ARS,95000,"A dos cuadras del Parque Sarmiento, ideal para estudiantes o profesionales jóvenes.",Amoblado | Balcón | Edificio con seguridad 24hs,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=1080&q=80&fm=jpg
INM-002,Departamento de 2 dormitorios en Nueva Córdoba,alquiler,departamento,Córdoba,Nueva Córdoba,,2,1,65,si,495000,ARS,120000,"Sobre calle Independencia, con cochera cubierta y muy buena luz natural.",Cochera cubierta | Luminoso | Cerca de la UNC,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=1080&q=80&fm=jpg
INM-003,PH reciclado en Güemes,alquiler,ph,Córdoba,Güemes,,2,1,72,no,520000,ARS,0,"PH al frente completamente reciclado, en pleno paseo de las artes.",Sin expensas | Patio propio | Zona gastronómica,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=1080&q=80&fm=jpg
INM-004,Departamento familiar en General Paz,alquiler,departamento,Córdoba,General Paz,,2,2,78,si,450000,ARS,105000,Departamento en piso alto con vista abierta y dos baños completos.,Dos baños | Cochera | Piso alto,https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=1080&q=80&fm=jpg
INM-005,Departamento a estrenar en Alberdi,alquiler,departamento,Córdoba,Alberdi,,1,1,42,no,310000,ARS,78000,"Unidad a estrenar a pasos del Hospital de Clínicas, ideal para residentes.",A estrenar | Cerca del Clínicas | Apto profesional,https://images.unsplash.com/photo-1560185007-cde436f6a4d0?w=1080&q=80&fm=jpg
INM-006,Casa con pileta en Cerro de las Rosas,venta,casa,Córdoba,Cerro de las Rosas,,3,3,185,si,215000,USD,0,"Casa en dos plantas con pileta, quincho y jardín parquizado.",Pileta | Quincho | Jardín parquizado,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=1080&q=80&fm=jpg
INM-007,Casa en barrio cerrado en Villa Belgrano,venta,casa,Córdoba,Villa Belgrano,,3,2,160,si,189000,USD,85000,Casa moderna en barrio cerrado con seguridad y espacios verdes comunes.,Barrio cerrado | Seguridad 24hs | Espacios verdes,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=1080&q=80&fm=jpg
INM-008,Casa grande con parque en Urca,venta,casa,Córdoba,Urca,,4,3,240,si,320000,USD,0,Propiedad de categoría con parque de 800 m² y galería con asador.,Parque de 800 m² | Galería con asador | Cochera doble,https://images.unsplash.com/photo-1449844908441-8829872d2607?w=1080&q=80&fm=jpg
INM-009,PH con terraza en Alta Córdoba,venta,ph,Córdoba,Alta Córdoba,,2,1,85,no,78000,USD,0,PH en planta alta con terraza propia de uso exclusivo.,Terraza propia | Sin expensas | Buena conexión al centro,https://images.unsplash.com/photo-1484154218962-a197022b5858?w=1080&q=80&fm=jpg
INM-010,Departamento de 1 dormitorio en Barrio Jardín,venta,departamento,Córdoba,Barrio Jardín,,1,1,48,si,62000,USD,68000,"Unidad en complejo con SUM y laundry, excelente para inversión.",Cochera | SUM y laundry | Apto inversión,https://images.unsplash.com/photo-1502005229762-cf1b2da7c5d6?w=1080&q=80&fm=jpg
INM-101,Departamento familiar en Las Flores,alquiler,departamento,Río Tercero,Las Flores,Lorenzo Capandegui 570,2,2,75,si,420000,ARS,95000,"Departamento cómodo para una familia, en una zona tranquila y bien conectada de Río Tercero.",Balcón | Cochera | Apto crédito,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1080&q=80&fm=jpg
INM-102,Casa amplia en Alberdi,venta,casa,Río Tercero,Alberdi,Sarmiento 812,3,2,140,no,78000,USD,0,"Casa de tres dormitorios con patio grande y parrilla, ideal para familia que busca espacio.",Parrilla | Patio grande | Portón eléctrico,https://images.unsplash.com/photo-1416331108676-a22ccb276e35?w=1080&q=80&fm=jpg
INM-103,PH a estrenar en Yapeyú,alquiler,ph,Río Tercero,Yapeyú,Belgrano 245,1,1,60,no,380000,ARS,60000,"PH nuevo, nunca habitado, con patio propio y muy buena entrada de luz natural.",A estrenar | Patio propio | Luminoso,https://images.unsplash.com/photo-1567496898669-ee935f5f647a?w=1080&q=80&fm=jpg
INM-104,Departamento céntrico en Barrio Norte,venta,departamento,Río Tercero,Barrio Norte,Avenida Almafuerte 1103,1,1,48,no,52000,USD,0,"A metros de la plaza principal, en edificio con ascensor. Muy buena opción como inversión.",A metros de la plaza | Balcón | Edificio con ascensor,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=1080&q=80&fm=jpg
INM-105,Casa con jardín en Roque Sáenz Peña,alquiler,casa,Río Tercero,Roque Sáenz Peña,Intendente Beltrán 334,3,2,110,si,550000,ARS,0,"Casa con jardín, quincho y cochera doble. Pensada para quien recibe gente los fines de semana.",Jardín | Quincho | Cochera doble,https://images.unsplash.com/photo-1583608205776-bfd35f0d9f83?w=1080&q=80&fm=jpg
INM-106,Departamento en Alto Alegre,alquiler,departamento,Río Tercero,Alto Alegre,Deán Funes 458,2,1,65,si,400000,ARS,80000,"Dos dormitorios con placards empotrados y cochera, en un barrio residencial tranquilo.",Placard empotrado | Cochera | Buena orientación,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=1080&q=80&fm=jpg
